date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
8/10/2018,14071,1689,2940,1302,1608,563,117,91,31,16,170,43,60,23,0.009455046,1.1581,5786,4996,6571.42,6591.26,6124.52,6184.71,4528680000,1.13E+11,365.78,367.05,329.59,334.18,1699400000,37026418724
8/11/2018,17032,1275,3361,1489,1958,692,93,69,19,16,134,37,74,13,0.012589992,1.0867,6068,5584,6185.79,6455.74,6109.03,6295.73,4047850000,1.06E+11,334.26,334.26,308.49,322.11,1790370000,33843432717
8/12/2018,11776,1062,2488,1083,1399,510,83,61,14,6,106,29,60,16,0.01146253,1.2435,5372,4320,6283.65,6409.85,6237.5,6322.69,5665250000,1.08E+11,320.82,328.59,318.6,319.57,1625420000,32489149687
8/13/2018,20057,1789,4264,1969,2398,859,142,94,36,17,177,40,114,19,0.010557211,1.1613,7460,6424,6341.36,6537.05,6225.72,6297.57,4083980000,1.09E+11,320.21,323.55,284.93,286.5,1751190000,32433585929
8/14/2018,24775,2174,4899,2163,2826,1017,162,138,41,25,227,63,141,24,0.011869458,1.295,9526,7356,6287.66,6287.94,5971.05,6199.71,5301700000,1.08E+11,286.37,286.37,254.65,278.93,2137850000,29011325541
8/15/2018,16918,1678,3639,1638,1801,649,138,98,25,17,163,35,98,13,0.007450942,1.1628,6763,5816,6221.42,6588.49,6221.42,6308.52,4895450000,1.07E+11,280.39,303.59,280.12,282.36,1878150000,28411365408
8/16/2018,14198,1735,3203,1476,1557,574,98,77,24,11,170,37,92,22,0.01116136,1.1981,6065,5062,6294.23,6473.5,6276.41,6334.73,4328420000,1.08E+11,282.74,298.48,280.93,288.05,1552970000,28655663078
8/17/2018,13961,1721,2970,1369,1457,524,114,86,14,4,173,46,67,16,0.010684631,1.1783,5670,4812,6340.91,6582.5,6324.97,6580.63,4992990000,1.09E+11,287.68,316.17,287.35,315.73,1995460000,29162476049
8/18/2018,10257,1278,2258,1037,1161,441,93,75,12,9,148,39,56,2,0.006080047,1.1534,4556,3950,6583.43,6617.35,6353.73,6423.76,3984520000,1.13E+11,316.79,320.45,286.55,295.81,1764020000,32119577919
8/19/2018,9428,1114,2109,985,1112,444,77,56,13,8,142,23,51,9,0.006217849,1.1606,4423,3811,6422.57,6537.98,6361.55,6506.07,3311170000,1.11E+11,295.67,307.1,291.33,300.83,1447910000,29984192045
